,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
813,8.120000000000001,0.0,0.0,0.0,0.0,0.15435092070924994,0.41583620174343794,-0.18034469706153014,0.9942578974844721,-1.5678260030109465,-1.652083342297009,-0.08425733928606238,0.261485281034188
814,8.13,0.0,0.0,0.0,0.0,0.15252438272711075,0.4256419859802684,-0.18490458233934567,0.9666609894846895,-1.566291588494153,-1.6478757214004875,-0.08158413290633448,0.2731176032531577
815,8.14,0.0,0.0,0.0,0.0,0.15065399547244998,0.4351647005362298,-0.18911459339295944,0.9376479655563918,-1.5647756615187653,-1.6435714462105544,-0.07879578469178906,0.28451070506377985
816,8.15,0.0,0.0,0.0,0.0,0.14874325529971247,0.4443903083370825,-0.1929753211833761,0.9072440371411565,-1.563278643090813,-1.6391734178194695,-0.07589477472865645,0.29564705303737004
817,8.16,0.0,0.0,0.0,0.0,0.14679564922717503,0.45330503627811214,-0.196488044331923,0.8754767885872393,-1.5618009192937323,-1.634684676390159,-0.0728837570964267,0.3065093870509371
818,8.17,0.0,0.0,0.0,0.0,0.14481464799319776,0.4618953990008563,-0.19965474221026538,0.8423761857766771,-1.5603428414163378,-1.6301083983977085,-0.06976555698137067,0.31708075100765853
819,8.18,0.0,0.0,0.0,0.0,0.14280369899220058,0.4701482227278917,-0.20247810586036874,0.8079745790045896,-1.5589047261508502,-1.62544789363275,-0.06654316748189994,0.3273445237356911
820,8.19,0.0,0.0,0.0,0.0,0.14076621911340115,0.4780506690950557,-0.20496154647875592,0.7723066994835449,-1.5574868558620714,-1.620706601966462,-0.06321974610439063,0.3372844499816546
821,8.2,0.0,0.0,0.0,0.0,0.13870558750795442,0.48559025891429936,-0.20710920121067736,0.7354096488668108,-1.5560894789285533,-1.6158880898775339,-0.059798610948980535,0.34688467140634494
822,8.21,0.0,0.0,0.0,0.0,0.13662513831260434,0.49275489579445697,-0.20892593601511042,0.6973228812154824,-1.5547128101563352,-1.6109960467421514,-0.05628323658581613,0.3561297574818526
823,8.22,0.0,0.0,0.0,0.0,0.13452815336025803,0.4995328895416576,-0.21041734538076265,0.6580881768759441,-1.5533570312655387,-1.6060342808888102,-0.05267724962327148,0.36500473618139956
824,8.23,0.0,0.0,0.0,0.0,0.1324178549099707,0.5059129792560434,-0.21158974869659072,0.6177496077859688,-1.5520222914497852,-1.601006715420566,-0.04898442397078085,0.3734951243460727
